ref_number,ref_name,S,CaO,CaF2,MgO,Al2O3,SiO2,FeO,MnO,Cr2O3,P2O5,V2O5,TiO2,MoO3,NiO,Na2O,K2O,NbO
29,H05,0.037000000000000005,43.2,0.18,17.1,4.14,14.8,21.7,1.72,0.2,0.29,0.18,1.07,0.0,0.02,0.01,0.02,0.04
30,O04,0.0,42.5,1.6,8.9,3.2,29.0,1.3,1.6,11.0,0.01,0.17,1.12,0.0,0.33,0.0,0.0,0.0
31,U01,0.0,24.2,3.04,14.1,10.9,24.3,2.45,4.39,15.4,0.0,0.96,0.21,0.0,0.0,0.0,0.0,0.0
32,U06,0.0,33.2,2.19,14.9,8.57,13.9,12.8,5.32,6.99,0.0,0.4,0.21,0.0,0.0,0.0,0.0,0.0
33,P1,0.02,15.1,0.0,12.7,17.5,40.5,11.8,0.14,0.1,0.08,0.01,0.81,0.0,0.0,1.3,0.43,0.0
34,H01,0.024,37.8,0.18,25.0,9.61,13.2,18.3,1.99,0.2,0.23,0.18,1.03,0.0,0.02,0.01,0.02,0.07
35,U05,0.0,31.3,3.95,19.9,9.52,28.0,2.86,0.7,3.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0
36,P3,0.15,19.0,0.0,9.3,18.4,40.5,8.6,0.33,0.07,0.08,0.01,1.0,0.0,0.0,1.9,0.47,0.0
37,H02,0.040999999999999995,44.5,0.22,18.0,5.04,14.2,18.9,2.1,0.28,0.26,0.06,1.07,0.0,0.02,0.01,0.02,0.05
38,_Ni_pure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
39,U11,0.0,40.1,2.43,20.0,6.79,27.5,1.37,0.41,0.89,0.0,0.22,0.24,0.0,0.0,0.0,0.0,0.0
40,O03,0.0,44.6,1.1,9.6,2.8,35.3,0.9,1.3,2.7,0.01,0.07,0.8,0.0,0.12,0.0,0.0,0.0
41,O09,0.0,37.5,1.4,6.8,4.1,27.8,2.5,3.5,12.9,0.01,0.23,1.93,0.0,0.28,0.0,0.0,0.0
42,U02,0.0,39.8,3.63,11.8,7.91,21.5,3.87,1.36,6.98,0.0,3.0,0.28,0.0,0.0,0.0,0.0,0.0
43,U09,0.0,40.5,2.05,19.9,6.05,28.5,1.39,0.42,0.92,0.0,0.22,0.25,0.0,0.0,0.0,0.0,0.0
